,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total Tax Payable,47100000.0,157600000.0,120400000.0,72600000.0
Income Tax Payable,47100000.0,157600000.0,120400000.0,72600000.0
Accounts Payable,2656000000.0,2369200000.0,1962400000.0,2087000000.0
Total Assets,22102300000.0,21802200000.0,20377100000.0,19518300000.0
Total Non Current Assets,10571900000.0,10155600000.0,9830300000.0,9963000000.0
Other Non Current Assets,59500000.0,62700000.0,7200000.0,10500000.0
Non Current Deferred Assets,143400000.0,218700000.0,298700000.0,319200000.0
Non Current Deferred Taxes Assets,143400000.0,218700000.0,298700000.0,319200000.0
Non Current Note Receivables,409900000.0,375100000.0,469700000.0,634900000.0
Non Current Accounts Receivable,99400000.0,103100000.0,112400000.0,119500000.0
Financial Assets,107900000.0,52600000.0,42600000.0,42900000.0
Investments And Advances,62600000.0,175100000.0,146200000.0,138900000.0
Investmentin Financial Assets,,,146200000.0,138900000.0
Available For Sale Securities,,,146200000.0,138900000.0
Investment Properties,421500000.0,460700000.0,385800000.0,389100000.0
Goodwill And Other Intangible Assets,2341600000.0,2372200000.0,2372800000.0,2414300000.0
Other Intangible Assets,1478400000.0,1495400000.0,1483300000.0,1523200000.0
Goodwill,863200000.0,876800000.0,889500000.0,891100000.0
Net PPE,6926100000.0,6335400000.0,5994900000.0,5893700000.0
Accumulated Depreciation,-4003600000.0,-3781700000.0,-3567300000.0,-3351600000.0
Gross PPE,10929700000.0,10117100000.0,9562200000.0,9245300000.0
Leases,3298300000.0,3069700000.0,2950300000.0,2820000000.0
Construction In Progress,647000000.0,424600000.0,149700000.0,118000000.0
Other Properties,64000000.0,59100000.0,37500000.0,29000000.0
Machinery Furniture Equipment,1904100000.0,1808000000.0,1707800000.0,1680400000.0
Buildings And Improvements,3915600000.0,3683800000.0,3644300000.0,3543600000.0
Land And Improvements,1100700000.0,1071900000.0,1072600000.0,1054300000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,11530400000.0,11646600000.0,10546800000.0,9555300000.0
Hedging Assets Current,189900000.0,86800000.0,,21200000.0
Assets Held For Sale Current,2600000.0,6700000.0,42600000.0,10600000.0
Restricted Cash,17500000.0,16700000.0,36200000.0,18200000.0
Prepaid Assets,195700000.0,216100000.0,193800000.0,139300000.0
Inventory,3216100000.0,2480600000.0,2312900000.0,2212900000.0
Finished Goods,3216100000.0,2480600000.0,2312900000.0,2212900000.0
Receivables,7418500000.0,6498500000.0,6027300000.0,6764100000.0
Other Receivables,254900000.0,186800000.0,276200000.0,169200000.0
Taxes Receivable,27400000.0,1700000.0,21900000.0,33200000.0
Loans Receivable,6271100000.0,5613200000.0,5031800000.0,5813800000.0
Accounts Receivable,865100000.0,696800000.0,697400000.0,747900000.0
Cash Cash Equivalents And Short Term Investments,490100000.0,2341200000.0,1934000000.0,389000000.0
Other Short Term Investments,176300000.0,606200000.0,643000000.0,201700000.0
Cash And Cash Equivalents,313800000.0,1735000000.0,1291000000.0,187300000.0
Cash Equivalents,84700000.0,691600000.0,540300000.0,69400000.0
Cash Financial,229100000.0,1043400000.0,750700000.0,117900000.0
