,2023-06-30,2023-03-31,2022-12-31,2022-09-30
Dueto Related Parties Current,413000000.0,404000000.0,434000000.0,438000000.0
Total Tax Payable,190000000.0,198000000.0,195000000.0,191000000.0
Income Tax Payable,190000000.0,198000000.0,195000000.0,191000000.0
Accounts Payable,5745000000.0,5676000000.0,6218000000.0,5785000000.0
Total Assets,38096000000.0,37734000000.0,38147000000.0,37695000000.0
Total Non Current Assets,24862000000.0,24859000000.0,24771000000.0,24681000000.0
Other Non Current Assets,822000000.0,861000000.0,164000000.0,357000000.0
Defined Pension Benefit,,,52000000.0,173000000.0
Non Current Deferred Assets,94000000.0,82000000.0,86000000.0,87000000.0
Non Current Deferred Taxes Assets,94000000.0,82000000.0,86000000.0,87000000.0
Non Current Accounts Receivable,,,77000000.0,78000000.0
Investments And Advances,,,399000000.0,167000000.0
Other Investments,,,66000000.0,78000000.0
Investmentin Financial Assets,,,246000000.0,
Long Term Equity Investment,,,87000000.0,89000000.0
Investment Properties,56000000.0,60000000.0,60000000.0,53000000.0
Goodwill And Other Intangible Assets,10606000000.0,10713000000.0,10828000000.0,10923000000.0
Other Intangible Assets,6271000000.0,6384000000.0,6505000000.0,6605000000.0
Goodwill,4335000000.0,4329000000.0,4323000000.0,4318000000.0
Net PPE,13284000000.0,13143000000.0,13105000000.0,12843000000.0
Accumulated Depreciation,,,-15253000000.0,
Gross PPE,13284000000.0,13143000000.0,28358000000.0,12843000000.0
Leases,,,4435000000.0,
Construction In Progress,,,479000000.0,
Other Properties,13284000000.0,13143000000.0,11405000000.0,12843000000.0
Machinery Furniture Equipment,,,9955000000.0,
Buildings And Improvements,,,1872000000.0,
Land And Improvements,,,212000000.0,
Properties,,,0.0,
Current Assets,13234000000.0,12875000000.0,13376000000.0,13014000000.0
Other Current Assets,402000000.0,360000000.0,353000000.0,
Assets Held For Sale Current,77000000.0,74000000.0,81000000.0,101000000.0
Prepaid Assets,250000000.0,,353000000.0,599000000.0
Inventory,5556000000.0,5735000000.0,5855000000.0,5763000000.0
Inventories Adjustments Allowances,,,-43000000.0,-55000000.0
Other Inventories,,,5898000000.0,5818000000.0
Receivables,5209000000.0,4996000000.0,5153000000.0,4843000000.0
Taxes Receivable,,0.0,0.0,0.0
Accounts Receivable,5209000000.0,4996000000.0,5153000000.0,4843000000.0
Allowance For Doubtful Accounts Receivable,-220000000.0,-212000000.0,-237000000.0,-202000000.0
Gross Accounts Receivable,5429000000.0,5208000000.0,5390000000.0,5045000000.0
Cash Cash Equivalents And Short Term Investments,1740000000.0,1710000000.0,1934000000.0,1708000000.0
Other Short Term Investments,531000000.0,548000000.0,326000000.0,294000000.0
Cash And Cash Equivalents,1209000000.0,1162000000.0,1608000000.0,1414000000.0
Cash Equivalents,,,584000000.0,481000000.0
Cash Financial,,,1024000000.0,933000000.0
