,2023-06-30,2023-03-31,2022-12-31,2022-09-30
Long Term Provisions,67900000.0,64900000.0,66100000.0,52500000.0
Current Liabilities,7704100000.0,7497900000.0,7147000000.0,7024000000.0
Other Current Liabilities,1080600000.0,1191500000.0,1300800000.0,1337400000.0
Current Deferred Liabilities,,,316400000.0,
Current Deferred Revenue,,,316400000.0,
Current Debt And Capital Lease Obligation,3444200000.0,3228800000.0,2475500000.0,2333900000.0
Current Capital Lease Obligation,371700000.0,369000000.0,381200000.0,388400000.0
Current Debt,3072500000.0,2859800000.0,2094300000.0,1945500000.0
Other Current Borrowings,2570700000.0,2357000000.0,1040200000.0,1480100000.0
Line Of Credit,501800000.0,502800000.0,981200000.0,465400000.0
Commercial Paper,,,21700000.0,
Current Notes Payable,,,51200000.0,
Current Provisions,236000000.0,212800000.0,202800000.0,178300000.0
Payables And Accrued Expenses,2943300000.0,2864800000.0,2851500000.0,3174400000.0
Payables,2943300000.0,2864800000.0,2851500000.0,3174400000.0
Other Payable,,,148400000.0,
Total Tax Payable,16700000.0,15500000.0,47100000.0,16400000.0
Income Tax Payable,16700000.0,15500000.0,47100000.0,16400000.0
Accounts Payable,2926600000.0,2849300000.0,2656000000.0,3158000000.0
Total Assets,21840600000.0,22162800000.0,22102300000.0,22211400000.0
Total Non Current Assets,10390900000.0,10460900000.0,10571900000.0,10415800000.0
Other Non Current Assets,,,59500000.0,
Non Current Deferred Assets,118200000.0,146300000.0,143400000.0,145700000.0
Non Current Deferred Taxes Assets,118200000.0,146300000.0,143400000.0,145700000.0
Non Current Note Receivables,,,409900000.0,
Non Current Accounts Receivable,657000000.0,677200000.0,99400000.0,681100000.0
Financial Assets,,,107900000.0,
Investments And Advances,62500000.0,62500000.0,62600000.0,96600000.0
Investment Properties,433700000.0,421600000.0,421500000.0,404900000.0
Goodwill And Other Intangible Assets,2248500000.0,2287700000.0,2341600000.0,2270100000.0
Other Intangible Assets,,,1478400000.0,
Goodwill,,,863200000.0,
Net PPE,6871000000.0,6865600000.0,6926100000.0,6817400000.0
Accumulated Depreciation,,,-4003600000.0,
Gross PPE,6871000000.0,6865600000.0,10929700000.0,6817400000.0
Leases,,,3298300000.0,
Construction In Progress,,,647000000.0,
Other Properties,6871000000.0,6865600000.0,64000000.0,6817400000.0
Machinery Furniture Equipment,,,1904100000.0,
Buildings And Improvements,,,3915600000.0,
Land And Improvements,,,1100700000.0,
Properties,,,0.0,
Current Assets,11449700000.0,11701900000.0,11530400000.0,11795600000.0
Hedging Assets Current,,,189900000.0,
Assets Held For Sale Current,3900000.0,2600000.0,2600000.0,2800000.0
Restricted Cash,,,17500000.0,8300000.0
Prepaid Assets,239200000.0,238500000.0,195700000.0,193900000.0
Inventory,3213700000.0,3279600000.0,3216100000.0,3443500000.0
Finished Goods,3213700000.0,3279600000.0,3216100000.0,3443500000.0
Receivables,7382000000.0,7692100000.0,7418500000.0,7665600000.0
Other Receivables,,,254900000.0,
Taxes Receivable,132300000.0,92500000.0,27400000.0,80800000.0
Loans Receivable,6387000000.0,6092100000.0,6271100000.0,6107800000.0
Accounts Receivable,862700000.0,1507500000.0,865100000.0,1477000000.0
Cash Cash Equivalents And Short Term Investments,610900000.0,489100000.0,490100000.0,481500000.0
Other Short Term Investments,178100000.0,177300000.0,176300000.0,173600000.0
Cash And Cash Equivalents,432800000.0,311800000.0,313800000.0,307900000.0
Cash Equivalents,,,84700000.0,49500000.0
Cash Financial,,,229100000.0,258400000.0
